time-step,queue-sys-id,num-jobs-in-queue,num-jobs-in-service,num-of-errors
287,q0,21,1,0
288,q0,21,1,0
289,q0,20,1,0
290,q0,20,1,0
291,q0,20,1,0
292,q0,20,1,0
293,q0,21,1,0
294,q0,21,1,0
295,q0,21,1,0
296,q0,21,1,0
297,q0,21,1,0
298,q0,21,1,0
299,q0,20,1,0
300,q0,20,1,0
301,q0,20,1,0
302,q0,20,1,0
303,q0,20,1,0
304,q0,20,1,0
305,q0,20,1,0
306,q0,20,1,0
307,q0,20,1,0
308,q0,20,1,0
309,q0,19,1,0
310,q0,19,1,0
311,q0,19,1,0
312,q0,19,1,0
313,q0,19,1,0
314,q0,19,1,0
315,q0,19,1,0
316,q0,19,1,0
317,q0,19,1,0
318,q0,19,1,0
319,q0,18,1,0
320,q0,18,1,0
321,q0,18,1,0
322,q0,18,1,0
323,q0,18,1,0
324,q0,18,1,0
325,q0,18,1,0
326,q0,18,1,0
327,q0,18,1,0
328,q0,18,1,0
329,q0,17,1,0
330,q0,17,1,0
331,q0,17,1,0
332,q0,17,1,0
333,q0,17,1,0
334,q0,17,1,0
335,q0,17,1,0
336,q0,17,1,0
337,q0,17,1,0
338,q0,17,1,0
339,q0,16,1,0
340,q0,16,1,0
341,q0,16,1,0
342,q0,16,1,0
343,q0,16,1,0
344,q0,16,1,0
345,q0,16,1,0
346,q0,16,1,0
347,q0,16,1,0
348,q0,16,1,0
349,q0,15,1,0
350,q0,15,1,0
351,q0,15,1,0
352,q0,15,1,0
353,q0,15,1,0
354,q0,15,1,0
355,q0,15,1,0
356,q0,15,1,0
357,q0,15,1,0
358,q0,15,1,0
359,q0,14,1,0
360,q0,14,1,0
361,q0,14,1,0
362,q0,14,1,0
363,q0,14,1,0
364,q0,14,1,0
365,q0,14,1,0
366,q0,14,1,0
367,q0,14,1,0
368,q0,14,1,0
369,q0,13,1,0
370,q0,13,1,0
371,q0,13,1,0
372,q0,13,1,0
373,q0,13,1,0
374,q0,13,1,0
375,q0,13,1,0
376,q0,13,1,0
377,q0,13,1,0
378,q0,13,1,0
379,q0,12,1,0
380,q0,12,1,0
381,q0,12,1,0
382,q0,12,1,0
383,q0,12,1,0
384,q0,12,1,0
385,q0,12,1,0
386,q0,12,1,0
387,q0,12,1,0
388,q0,12,1,0
389,q0,11,1,0
390,q0,11,1,0
391,q0,11,1,0
392,q0,11,1,0
393,q0,11,1,0
394,q0,11,1,0
395,q0,11,1,0
396,q0,11,1,0
397,q0,11,1,0
398,q0,11,1,0
399,q0,10,1,0
400,q0,10,1,0
401,q0,10,1,0
402,q0,10,1,0
403,q0,10,1,0
404,q0,10,1,0
405,q0,10,1,0
406,q0,10,1,0
407,q0,10,1,0
408,q0,10,1,0
409,q0,9,1,0
410,q0,9,1,0
411,q0,9,1,0
412,q0,9,1,0
413,q0,9,1,0
414,q0,9,1,0
415,q0,9,1,0
416,q0,9,1,0
417,q0,9,1,0
418,q0,9,1,0
419,q0,8,1,0
420,q0,8,1,0
421,q0,8,1,0
422,q0,8,1,0
423,q0,8,1,0
424,q0,8,1,0
425,q0,8,1,0
426,q0,8,1,0
427,q0,8,1,0
428,q0,8,1,0
429,q0,7,1,0
430,q0,7,1,0
431,q0,7,1,0
432,q0,7,1,0
433,q0,7,1,0
434,q0,7,1,0
435,q0,7,1,0
436,q0,7,1,0
437,q0,7,1,0
438,q0,7,1,0
439,q0,6,1,0
440,q0,6,1,0
441,q0,6,1,0
442,q0,6,1,0
443,q0,6,1,0
444,q0,6,1,0
445,q0,6,1,0
446,q0,6,1,0
447,q0,6,1,0
448,q0,6,1,0
449,q0,5,1,0
450,q0,5,1,0
451,q0,5,1,0
452,q0,5,1,0
453,q0,5,1,0
454,q0,5,1,0
455,q0,5,1,0
456,q0,5,1,0
457,q0,5,1,0
458,q0,5,1,0
459,q0,4,1,0
460,q0,4,1,0
461,q0,4,1,0
462,q0,4,1,0
463,q0,4,1,0
464,q0,4,1,0
465,q0,4,1,0
466,q0,4,1,0
467,q0,4,1,0
468,q0,4,1,0
469,q0,3,1,0
470,q0,3,1,0
471,q0,3,1,0
472,q0,3,1,0
473,q0,3,1,0
474,q0,3,1,0
475,q0,3,1,0
476,q0,3,1,0
477,q0,3,1,0
478,q0,3,1,0
479,q0,2,1,0
480,q0,2,1,0
481,q0,2,1,0
482,q0,2,1,0
483,q0,2,1,0
484,q0,2,1,0
485,q0,2,1,0
486,q0,2,1,0
487,q0,2,1,0
488,q0,2,1,0
489,q0,1,1,0
490,q0,1,1,0
491,q0,1,1,0
492,q0,1,1,0
493,q0,1,1,0
494,q0,1,1,0
495,q0,1,1,0
496,q0,1,1,0
497,q0,1,1,0
498,q0,1,1,0
499,q0,0,1,0
500,q0,0,1,0
501,q0,0,1,0
502,q0,0,1,0
503,q0,0,1,0
504,q0,0,1,0
505,q0,0,1,0
506,q0,0,1,0
507,q0,0,1,0
508,q0,0,1,0
509,q0,0,0,0
